actionid,casenumber,actionposition,actiontypecode,actiontype,actionstatuscode,utcstartdate,utcenddate,duration,actioneditororganisation,actioneditordepartment,actioncreatororganisation,actioncreatordepartment,referencetype,actioncallstate
932844826,***MASKED***,4,10,Outgoing call,20,2024-01-02 05:51:09.000000,2024-01-02 06:02:07.000000,10.966666666666669,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932849120,***MASKED***,4,10,Outgoing call,20,2024-01-02 07:59:47.000000,2024-01-02 08:07:52.000000,8.083333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932853517,***MASKED***,4,10,Outgoing call,20,2024-01-02 10:02:19.000000,2024-01-02 10:02:53.000000,0.5666666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932857481,***MASKED***,5,10,Outgoing call,20,2024-01-02 12:20:17.000000,2024-01-02 12:20:20.000000,0.05,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932860451,***MASKED***,6,10,Outgoing call,20,2024-01-02 13:44:08.000000,2024-01-02 13:45:32.000000,1.4,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932862412,***MASKED***,10,10,Outgoing call,20,2024-01-02 14:33:39.000000,2024-01-02 14:36:06.000000,2.45,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932863145,***MASKED***,13,10,Outgoing call,20,2024-01-02 14:53:10.000000,2024-01-02 14:54:20.000000,1.1666666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
932864000,***MASKED***,4,10,Outgoing call,20,2024-01-02 15:21:41.000000,2024-01-02 15:23:00.000000,1.3166666666666669,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932871971,***MASKED***,7,10,Outgoing call,20,2024-01-03 02:23:30.000000,2024-01-03 02:29:41.000000,6.183333333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932883807,***MASKED***,8,10,Outgoing call,20,2024-01-03 09:53:03.000000,2024-01-03 09:53:39.000000,0.6,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
932905364,***MASKED***,3,10,Outgoing call,20,2024-01-04 03:39:50.000000,2024-01-04 03:43:54.000000,4.066666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932906643,***MASKED***,3,10,Outgoing call,20,2024-01-04 06:00:50.000000,2024-01-04 06:00:55.000000,0.0833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932921622,***MASKED***,15,10,Outgoing call,20,2024-01-04 13:07:32.000000,2024-01-04 13:09:24.000000,1.8666666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932926603,***MASKED***,3,10,Outgoing call,20,2024-01-04 15:13:04.000000,2024-01-04 16:20:05.000000,67.01666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932941228,***MASKED***,26,10,Outgoing call,20,2024-01-05 07:32:48.000000,2024-01-05 07:41:16.000000,8.466666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932944949,***MASKED***,7,10,Outgoing call,20,2024-01-05 09:00:39.000000,2024-01-05 09:11:37.000000,10.966666666666669,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
932953539,***MASKED***,9,10,Outgoing call,20,2024-01-05 13:44:19.000000,2024-01-05 13:50:17.000000,5.966666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932955009,***MASKED***,8,10,Outgoing call,20,2024-01-05 14:26:45.000000,2024-01-05 16:27:35.000000,120.83333333333331,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932959785,***MASKED***,5,10,Outgoing call,20,2024-01-05 18:10:24.000000,2024-01-05 18:12:55.000000,2.5166666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932960477,***MASKED***,11,10,Outgoing call,20,2024-01-05 18:58:10.000000,2024-01-05 18:58:43.000000,0.55,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932968673,***MASKED***,4,10,Outgoing call,20,2024-01-08 01:42:14.000000,2024-01-08 01:44:56.000000,2.7,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932975533,***MASKED***,5,10,Outgoing call,20,2024-01-08 07:21:21.000000,2024-01-08 07:22:14.000000,0.8833333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932979090,***MASKED***,11,10,Outgoing call,20,2024-01-08 08:22:08.000000,2024-01-10 05:53:49.000000,2731.6833333333334,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932979986,***MASKED***,3,10,Outgoing call,20,2024-01-08 08:37:44.000000,2024-01-08 09:11:56.000000,34.2,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932984923,***MASKED***,4,10,Outgoing call,20,2024-01-08 10:14:54.000000,2024-01-08 11:00:04.000000,45.16666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932985525,***MASKED***,10,10,Outgoing call,20,2024-01-08 10:27:16.000000,2024-01-08 10:54:54.000000,27.633333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
932996528,***MASKED***,9,10,Outgoing call,20,2024-01-08 14:18:29.000000,2024-01-08 14:20:28.000000,1.9833333333333332,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933004173,***MASKED***,6,10,Outgoing call,20,2024-01-08 18:33:29.000000,2024-01-08 18:33:35.000000,0.1,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Not reached
933027814,***MASKED***,4,10,Outgoing call,20,2024-01-09 10:46:02.000000,2024-01-09 11:33:40.000000,47.63333333333333,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933032199,***MASKED***,4,10,Outgoing call,20,2024-01-09 12:40:47.000000,2024-01-09 12:53:33.000000,12.766666666666667,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
933032567,***MASKED***,16,10,Outgoing call,20,2024-01-09 12:48:23.000000,2024-01-09 12:50:24.000000,2.0166666666666666,***MASKED***,***MASKED***,***MASKED***,***MASKED***,,Reached
